Field Name,Occurences,Sample Value 1,Sample Value 2,Sample Value 3,Sample Value 4,Sample Value 5
twitter:image:src,3,https://horizons.gc.ca/wp-content/uploads/2012/10/shutterstock_447476002-394x218.jpg,https://www.justice.gc.ca/eng/csj-sjc/pl/charter-charte/twittercard/c14-twittercard-en.jpg,http://www.cic.gc.ca/images/og/og-eta-eng.jpg,,
twitter:site,112,@LibraryArchives,@Femmes_Canada,<st_metadata_twitter_site_content/>,@cybercentre_ca,@LibraryArchivesCanada
twitter:site:id,1,91193025,,,,
twitter:title,55,Evaluation of the Canadian Space Agency Satellite Communications Business Line,Canadian Centre for Cyber Security,Does Climate Change Affect Us All the Same Way?,Comprehensive Socio-Economic Impact Assessment of the Canadian Space Sector,Prime Minister announces changes to the Cabinet committees
twitter:url,27,https://www.asc-csa.gc.ca/eng/publications/pr-2015.asp,https://www.asc-csa.gc.ca/eng/publications/er-1415-0204.asp,https://www.asc-csa.gc.ca/eng/publications/er-1314-0202.asp,https://www.asc-csa.gc.ca/eng/publications/2015-assessment-canadian-space-sector.asp,https://www.asc-csa.gc.ca/eng/publications/er-1617-0204.asp
type,8,Policy,Standard,Directive,Guidelines,
typeid,8,36,27,83,73,
university,1,University of Lethbridge,,,,
url,9,https://www.tbs-sct.gc.ca/agreements-conventions/view-visualiser.aspx?id=24,https://www.tbs-sct.gc.ca/agreements-conventions/view-visualiser.aspx?id=19,https://www.tbs-sct.gc.ca/agreements-conventions/view-visualiser.aspx?id=24&m=a,https://www.tbs-sct.gc.ca/agreements-conventions/view-visualiser.aspx?id=20,https://www.tbs-sct.gc.ca/agreements-conventions/view-visualiser.aspx?id=25&m=a
user-agent,156,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; .NET CLR 1.0.3705;),,,,
version,2,10.2.5,,,,
viewport,5369,"width=device-width, initial-scale=1",width=device-width,"width=device-width,initial-scale=1","width=device-width, initial-scale=1, maximum-scale=1, user-scalable=0","width=device-width, initial-scale=1.0"
webType,58,1,,,,
width,6,266,16,,,
x-frame-options,1,SAMEORIGIN,,,,
x-ua-compatible,38,IE=11,ie=edge,IE=EDGE,,
year,15,2007,2018,2004,2011,2010
